City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Paranga,56.7039,49.4047,44.46,93,100,10.49,RU,2021-09-25 00:42:29
150,Toamasina,-18.1667,49.3833,69.8,94,75,3.44,MG,2021-09-25 00:42:29
151,Evensk,61.95,159.2333,47.3,64,15,4.21,RU,2021-09-25 00:42:29
152,Mount Gambier,-37.8333,140.7667,51.71,71,75,13.8,AU,2021-09-25 00:42:30
153,Mujiayingzi,42.1167,118.7833,61.29,88,98,5.23,CN,2021-09-25 00:42:30
154,Aklavik,68.2191,-135.0107,36.32,97,100,18.25,CA,2021-09-25 00:42:31
155,Teya,60.3778,92.6267,34.54,82,100,4.25,RU,2021-09-25 00:42:31
156,Tendukheda,23.4,79.55,74.03,95,86,4.47,IN,2021-09-25 00:42:31
157,Bethel,41.3712,-73.414,63.68,88,1,3.44,US,2021-09-25 00:40:00
158,Luderitz,-26.6481,15.1594,58.98,67,61,9.86,NA,2021-09-25 00:42:32
159,Kaitangata,-46.2817,169.8464,58.84,57,78,12.15,NZ,2021-09-25 00:42:32
160,Naze,28.3667,129.4833,83.32,79,25,13.73,JP,2021-09-25 00:42:32
161,Ribeira Grande,38.5167,-28.7,71.02,80,100,19.22,PT,2021-09-25 00:42:33
162,Flinders,-34.5833,150.8552,68.81,88,78,12.95,AU,2021-09-25 00:42:33
163,Hay River,60.8156,-115.7999,58.98,51,40,6.91,CA,2021-09-25 00:42:33
164,Vila Do Maio,15.1333,-23.2167,77.79,72,76,11.99,CV,2021-09-25 00:42:34
165,Itarema,-2.9248,-39.9167,79.0,82,19,16.02,BR,2021-09-25 00:42:34
166,Saint-Philippe,-21.3585,55.7679,69.35,81,0,10.51,RE,2021-09-25 00:41:09
167,Porto Seguro,-16.4497,-39.0647,72.12,73,40,9.22,BR,2021-09-25 00:42:35
168,Sabirabad,40.0095,48.4752,63.59,58,100,4.68,AZ,2021-09-25 00:42:35
169,Zambezi,-13.5432,23.1047,64.09,32,0,5.32,ZM,2021-09-25 00:42:36
170,Miri,4.4148,114.0089,80.74,83,20,6.91,MY,2021-09-25 00:42:36
171,Tevriz,57.509,72.4042,34.07,84,100,4.07,RU,2021-09-25 00:42:36
172,Rocha,-34.4833,-54.3333,52.74,98,45,3.27,UY,2021-09-25 00:42:37
173,Aksehir,38.3575,31.4164,50.95,52,0,1.74,TR,2021-09-25 00:42:37
174,Mayo,38.8876,-76.5119,66.22,83,1,0.0,US,2021-09-25 00:42:37
175,Leshukonskoye,64.8989,45.7622,46.53,94,100,8.34,RU,2021-09-25 00:42:38
176,Praya,14.9215,-23.5087,77.54,83,20,8.05,CV,2021-09-25 00:42:38
177,Muros,42.7762,-9.0603,64.24,92,100,5.44,ES,2021-09-25 00:42:38
178,Los Llanos De Aridane,28.6585,-17.9182,67.75,77,0,8.05,ES,2021-09-25 00:42:39
179,Carlsbad,33.1581,-117.3506,78.69,85,1,1.01,US,2021-09-25 00:42:39
